ID;NOMBRE
AIE;AIELLO
ALV;ALVEAR
ATO;ATOMO
BAR;BARALE
BASU;BASUALDO
BECE;BECERRA
CAF ;CAFE AMERICA
CAP ;CAPO
CAR ;CAROMAR
INC;CARREFOUR
CER;CEREALES
CHM;CHANGO MAS
COM;COMODIN
COO;COOPERATIVA
COR;CORDIEZ
COT;COTO
DAR;DAR
DDI;DDI
DEP;DELCA PINTOS
DIAR;DIARCO
DIN;DINOSAURIO
DIS;DISCO
DON;DON EMILIO
EAS;EASY
TNL;EL TUNEL
FMC;FARMACITY
FER;FERNIPLAST
FRI;FRIGORIFICO
GUI;GUIRAO
HER;HERGO
ISI;ISIS
JOS;JOSIMAR
JBO;JUMBO
KBL;KIBEL
LAG;LA  GALLEGA
LAE;LA ECONOMIA
LAR;LA REINA
LIB;LIBERTAD
MKO;MAKRO
MAL;MALAMBO
MAM;MAMI
MAX;MARIANO MAX
MXC;MAXICONSUMO
MED;MEDAMAX
MIC;MICROPACK
MOD;MODELO
NIN;NINI
NIP;NIPON
OSC;OSCAR DAVID
PET;PETRELLI
PIA;PIANTONI
SAN;SAN RAMON
SOD;SODIMAC
SUP;SUPER IMPERIO
SUT;SUPER TOP
SUM;SUPREMO
TAD;TADICOR
TOL;TOLEDO
TOR;TORNADO
UPA;UPA
VEA;VEA
VIT;VITAL
WMT;WALMART
YGR;YAGUAR
MBS;MAYORISTA BUEN SOL
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
